item,group
1,0
8,0
35,1
63,0
71,0
78,1
91,0
94,0
95,0
99,0
101,0
102,2
103,1
112,1
114,0
132,0
138,1
139,0
140,2
141,0
142,2
151,0
169,0
189,0
206,0
225,0
240,0
243,0
247,1
259,0
261,0
304,0
308,0
314,3
374,4
377,4
383,1
389,2
398,4
400,4
404,0
408,0
415,4
416,0
417,0
418,0
419,0
420,0
422,4
423,0
426,0
432,0
457,1
465,0
473,0
477,0
500,0
501,0
538,0
539,0
542,0
548,4
560,4
584,0
588,0
596,0
600,4
622,0
623,0
624,4
625,0
626,4
726,4
755,0
768,0
791,4
795,4
812,4
820,0
828,3
832,3
842,0
843,4
862,4
878,0
892,0
894,0
929,0
932,0
946,0
951,0
969,0
989,0
993,0
996,4
1003,4
1015,0
1031,4
1032,4
1033,0
1060,0
1063,0
1066,4
1076,4
1078,4
1091,0
1133,0
1164,4
1200,4
1219,4
1240,0
1279,4
1292,0
1293,0
1336,4
1367,4
1383,4
1409,4
1412,4
1415,4
1444,0
1469,4
1470,4
1473,4
1480,4
1503,4
1531,4
1540,4
1555,4
1608,4
1615,0
