user,group
1,0
2,1
5,0
6,2
7,3
8,4
10,5
11,6
12,7
13,3
14,8
15,9
16,10
17,11
18,12
20,13
21,8
22,6
23,12
24,14
25,12
26,15
28,16
29,17
30,18
32,17
35,4
36,19
38,20
40,17
41,16
42,10
43,21
44,5
45,22
48,4
49,21
52,23
54,13
56,21
57,8
58,2
59,3
60,10
61,1
62,13
63,22
64,24
65,16
67,25
70,21
73,26
75,8
77,27
81,22
82,21
83,20
84,8
85,5
86,15
87,6
88,1
89,23
90,14
91,16
92,21
93,13
94,3
95,3
96,16
97,2
99,25
101,22
102,21
106,28
108,1
109,13
110,26
115,28
116,18
117,13
119,17
123,7
125,6
126,11
128,5
130,3
133,1
134,18
137,11
141,9
142,4
144,29
145,30
148,12
151,12
152,14
158,31
159,9
160,13
161,7
165,27
166,11
167,10
168,22
169,1
170,17
174,32
175,7
177,19
178,29
181,22
182,25
183,26
184,13
186,9
187,28
188,17
189,21
193,17
194,21
195,33
196,28
197,17
198,13
199,18
200,20
201,12
203,13
204,18
205,1
206,34
207,29
209,15
210,10
211,16
213,13
214,35
215,14
216,35
219,7
221,13
222,20
223,22
224,11
226,31
230,10
232,14
233,10
234,3
236,14
237,35
239,14
243,14
244,13
245,8
246,10
247,17
248,36
249,2
250,21
251,13
253,37
254,3
256,9
261,4
262,20
263,5
265,25
267,2
268,0
269,14
271,2
272,16
274,22
275,3
276,3
277,23
279,3
280,10
281,1
283,5
284,18
286,21
287,25
289,13
290,21
291,10
292,14
293,10
294,13
295,10
296,18
297,37
298,21
299,21
300,38
301,10
303,3
304,17
305,2
307,12
308,3
309,1
310,1
311,3
312,12
313,3
314,20
316,1
318,10
319,17
320,5
321,7
323,11
324,17
325,12
326,37
327,12
328,14
329,16
330,21
331,7
332,13
334,12
336,26
337,23
338,25
339,10
340,13
342,2
343,2
344,2
345,14
346,39
347,10
348,22
351,15
354,2
357,13
358,28
360,1
363,21
365,13
373,0
374,13
378,3
379,14
380,14
381,21
383,2
385,2
387,21
388,22
389,10
390,1
391,7
392,40
393,3
394,14
395,13
397,38
398,10
399,3
400,1
401,5
402,13
403,25
404,4
405,3
406,10
407,12
409,28
411,13
412,2
415,11
416,3
417,3
422,13
424,4
425,17
426,5
427,15
428,4
429,3
430,41
432,23
433,38
434,23
435,3
436,42
437,3
440,15
441,17
445,25
447,13
450,3
451,4
452,3
453,14
454,5
455,29
456,5
457,2
458,2
459,22
460,1
461,17
462,17
463,22
465,2
466,1
468,37
471,21
472,3
474,14
475,18
476,26
478,13
479,2
480,35
481,28
483,5
484,5
486,13
487,10
488,4
489,38
490,22
493,13
495,3
496,3
497,3
498,16
499,7
500,6
502,18
503,42
504,3
505,5
506,3
507,30
508,13
510,4
514,12
515,18
517,40
518,13
519,4
521,14
523,12
524,14
525,25
526,11
527,27
528,26
531,17
532,10
533,2
534,13
535,37
536,21
537,3
540,13
541,3
542,10
543,37
544,1
545,10
546,38
548,25
549,23
550,18
551,13
552,9
553,14
554,37
556,11
557,28
559,17
560,42
561,21
562,14
563,1
566,37
567,16
568,7
569,13
577,32
579,31
582,13
586,13
587,18
588,21
589,4
591,28
592,12
593,29
595,13
597,23
598,4
601,3
602,4
605,25
606,10
608,14
609,4
610,37
612,4
615,17
617,7
618,10
620,3
621,20
622,10
624,25
625,13
629,16
630,13
632,5
633,26
634,22
636,25
637,13
639,16
640,1
641,5
642,3
643,12
644,4
645,11
646,18
647,26
648,21
650,10
653,14
654,12
655,14
658,25
659,42
660,21
661,12
663,13
664,13
665,13
666,27
668,30
669,35
670,42
674,15
676,18
677,13
679,12
680,25
681,1
682,10
683,17
684,22
686,26
688,15
689,22
690,6
691,4
693,42
694,37
697,22
698,5
699,22
701,15
703,22
704,18
705,10
707,23
708,22
709,16
710,5
711,10
712,3
714,25
715,13
716,10
718,25
719,16
721,4
723,35
724,18
726,13
727,21
728,15
731,37
732,15
733,13
734,42
735,15
737,35
738,21
739,7
741,16
743,1
745,13
746,28
747,21
748,12
749,3
751,5
752,17
753,15
754,11
755,15
756,20
757,5
758,10
761,13
763,5
764,10
766,10
767,5
768,23
769,25
770,25
771,12
772,15
773,12
774,21
776,13
778,16
779,4
780,16
782,4
785,16
786,10
787,17
788,13
790,13
791,15
792,22
793,25
794,25
795,10
796,21
797,11
798,3
800,1
802,17
803,18
804,3
805,3
806,2
807,3
810,11
811,1
813,4
815,21
816,17
819,15
821,13
822,12
823,21
824,18
825,16
826,21
829,22
830,10
833,13
835,42
837,23
838,12
840,10
843,3
844,10
846,3
847,10
848,5
849,10
850,28
851,10
852,13
853,18
854,14
857,18
862,37
863,15
864,21
865,21
867,42
868,21
869,25
870,35
872,13
875,14
878,5
879,22
880,20
881,3
882,10
883,29
885,20
886,13
887,21
889,12
890,42
892,3
893,13
896,21
897,10
898,18
899,37
901,20
902,29
903,25
906,31
907,22
908,16
911,3
912,42
913,12
916,13
917,25
918,42
919,21
921,10
922,5
924,25
927,10
928,4
929,16
930,13
932,12
933,13
934,21
936,4
937,15
938,22
940,23
941,31
942,4
943,14
